Price,Close,mom,signal_raw,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade_side_raw,strat_ret_net,wealth_strategy_net,signal_costaware,signal_cost_shift,strat_ret_ca,trade_side_ca,strat_ret_ca_net,wealth_strategy_ca,wealth_strategy_ca_net
Ticker,SPY,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2024-05-28,529.8099975585938,0.03872093497732343,1,1.0,0.0006988423909817243,0.0006988423909817243,1.1090619979390026,1.2703589143220773,0.0,0.0006988423909817243,1.245832042268762,1,1.0,0.0006988423909817243,0.0,0.0006988423909817243,1.2840758892844628,1.2605512212465384
2024-05-29,526.0999755859375,0.04804965152340768,1,1.0,-0.007002551838871107,-0.007002551838871107,1.1012957338059128,1.2614631601705648,0.0,-0.007002551838871107,1.2371080388102484,1,1.0,-0.007002551838871107,0.0,-0.007002551838871107,1.2750840813047037,1.2517241459742072
2024-05-30,522.6099853515625,0.04448881578197006,1,1.0,-0.0066337015706721125,-0.0066337015706721125,1.09399006656679,1.2530949900235964,0.0,-0.0066337015706721125,1.2289014332701018,1,1.0,-0.0066337015706721125,0.0,-0.0066337015706721125,1.2666255540318136,1.24342058154101
2024-05-31,527.3699951171875,0.04423498879648413,1,1.0,0.009108149287317735,0.009108149287317735,1.1039542914119231,1.2645083662639212,0.0,0.009108149287317735,1.2400944509837246,1,1.0,0.009108149287317735,0.0,0.009108149287317735,1.278162168669067,1.254745841824609
2024-06-03,527.7999877929688,0.03229083098070418,1,1.0,0.0008153529396106585,0.0008153529396106585,1.1048544037886217,1.2655393868775167,0.0,0.0008153529396106585,1.241105565639729,1,1.0,0.0008153529396106585,0.0,0.0008153529396106585,1.2792043219505904,1.2557689025352048
2024-06-04,528.3900146484375,0.022881714301310696,1,1.0,0.0011178985773303562,0.0011178985773303562,1.1060895189547741,1.2669541315576625,0.0,0.0011178985773303562,1.2424929957858744,1,1.0,0.0011178985773303562,0.0,0.0011178985773303562,1.2806343426422138,1.2571727248048046
2024-06-05,534.6699829101562,0.033897915003997525,1,1.0,0.011885100186643571,0.011885100186643571,1.119235503702948,1.2820120083431072,0.0,0.011885100186643571,1.2572601495219924,1,1.0,0.011885100186643571,0.0,0.011885100186643571,1.295854810106973,1.2721143485910253
2024-06-06,534.6599731445312,0.03377863187737118,1,1.0,-1.8721390661391446e-05,-1.8721390661391446e-05,1.119214550057841,1.2819880072954664,0.0,-1.8721390661391446e-05,1.2572366118635703,1,1.0,-1.8721390661391446e-05,0.0,-1.8721390661391446e-05,1.2958305499028324,1.2720905328413394
2024-06-07,534.010009765625,0.026606738778041317,1,1.0,-0.0012156574487586225,-0.0012156574487586225,1.1178539685533042,1.2804295490251785,0.0,-0.0012156574487586225,1.2557082428115063,1,1.0,-0.0012156574487586225,0.0,-0.0012156574487586225,1.294255263842514,1.2705441065095955
2024-06-10,535.6599731445312,0.02845393119752493,1,1.0,0.003089761144422054,0.003089761144422054,1.1213078703104782,1.2843857704939263,0.0,0.003089761144422054,1.2595880813488758,1,1.0,0.003089761144422054,0.0,0.003089761144422054,1.2982542034676983,1.2744697843221633
2024-06-11,536.9500122070312,0.030792343954700208,1,1.0,0.0024083170801936227,0.0024083170801936227,1.1240083352067025,1.2874789786825644,0.0,0.0024083170801936227,1.2626215688391966,1,1.0,0.0024083170801936227,0.0,0.0024083170801936227,1.3013808112403427,1.277539111671937
2024-06-12,541.3599853515625,0.03451174848056504,1,1.0,0.008213005017738695,0.008213005017738695,1.1332398213037354,1.2980530499947174,0.0,0.008213005017738695,1.2729914861195781,1,1.0,0.008213005017738695,0.0,0.008213005017738695,1.3120690583730485,1.288031546806456
2024-06-13,542.4500122070312,0.023915554021490593,1,1.0,0.002013497275312748,0.002013497275312748,1.1355215965962062,1.300666676274093,0.0,0.002013497275312748,1.2755546510083762,1,1.0,0.002013497275312748,0.0,0.002013497275312748,1.314710905847105,1.2906249948164676
2024-06-14,542.780029296875,0.02665082901209259,1,1.0,0.0006083824913212244,0.0006083824913212244,1.1362124280540924,1.3014579791069831,0.0,0.0006083824913212244,1.276330676124773,1,1.0,0.0006083824913212244,0.0,0.0006083824913212244,1.3155107529433714,1.2914101884661755
2024-06-17,547.0999755859375,0.03333641131734377,1,1.0,0.007958926371441244,0.007958926371441244,1.1452554591112913,1.3118161873382204,0.0,0.007958926371441244,1.286488898001662,1,1.0,0.007958926371441244,0.0,0.007958926371441244,1.325980806166887,1.3016884270715068
